wavenumber (1/cm),cross section (cm^2)
10140.000,5.837E-24
10141.000,5.759E-24
10142.000,5.681E-24
10143.000,5.466E-24
10144.000,5.250E-24
10145.000,5.035E-24
10146.000,4.873E-24
10147.000,4.710E-24
10148.000,4.548E-24
10149.000,4.384E-24
10150.000,4.221E-24
10151.000,4.057E-24
10152.000,3.848E-24
10153.000,3.638E-24
10154.000,3.678E-24
10155.000,3.717E-24
10156.000,3.757E-24
10157.000,3.664E-24
10158.000,3.571E-24
10159.000,3.478E-24
10160.000,3.333E-24
10161.000,3.188E-24
10162.000,3.043E-24
10163.000,2.973E-24
10164.000,2.902E-24
10165.000,2.832E-24
10166.000,2.751E-24
10167.000,2.671E-24
10168.000,2.590E-24
10169.000,2.640E-24
10170.000,2.689E-24
10171.000,2.739E-24
10172.000,2.669E-24
10173.000,2.599E-24
10174.000,2.496E-24
10175.000,2.392E-24
10176.000,2.289E-24
10177.000,2.248E-24
10178.000,2.207E-24
10179.000,2.166E-24
10180.000,2.095E-24
10181.000,2.023E-24
10182.000,1.952E-24
10183.000,1.868E-24
10184.000,1.783E-24
10185.000,1.699E-24
10186.000,1.707E-24
10187.000,1.714E-24
10188.000,1.722E-24
10189.000,1.634E-24
10190.000,1.547E-24
10191.000,1.459E-24
10192.000,1.392E-24
10193.000,1.326E-24
10194.000,1.259E-24
10195.000,1.213E-24
10196.000,1.167E-24
10197.000,1.077E-24
10198.000,9.873E-25
10199.000,8.974E-25
10200.000,9.227E-25
10201.000,9.479E-25
10202.000,9.732E-25
10203.000,1.007E-24
10204.000,1.041E-24
10205.000,1.075E-24
10206.000,1.154E-24
10207.000,1.234E-24
10208.000,1.313E-24
10209.000,1.369E-24
10210.000,1.424E-24
10211.000,1.480E-24
10212.000,1.433E-24
10213.000,1.386E-24
10214.000,1.339E-24
10215.000,1.353E-24
10216.000,1.367E-24
10217.000,1.381E-24
10218.000,1.444E-24
10219.000,1.508E-24
10220.000,1.571E-24
10221.000,1.520E-24
10222.000,1.469E-24
10223.000,1.463E-24
10224.000,1.458E-24
10225.000,1.452E-24
10226.000,1.483E-24
10227.000,1.515E-24
10228.000,1.546E-24
10229.000,1.614E-24
10230.000,1.683E-24
10231.000,1.751E-24
10232.000,1.832E-24
10233.000,1.912E-24
10234.000,1.993E-24
10235.000,2.002E-24
10236.000,2.011E-24
10237.000,2.020E-24
10238.000,2.065E-24
10239.000,2.110E-24
10240.000,2.155E-24
10241.000,2.179E-24
10242.000,2.203E-24
10243.000,2.227E-24
10244.000,2.234E-24
10245.000,2.240E-24
10246.000,2.247E-24
10247.000,2.164E-24
10248.000,2.081E-24
10249.000,1.998E-24
10250.000,2.056E-24
10251.000,2.114E-24
10252.000,2.145E-24
10253.000,2.175E-24
10254.000,2.206E-24
10255.000,2.132E-24
10256.000,2.057E-24
10257.000,1.983E-24
10258.000,1.950E-24
10259.000,1.917E-24
10260.000,1.884E-24
10261.000,1.928E-24
10262.000,1.971E-24
10263.000,2.015E-24
10264.000,2.040E-24
10265.000,2.066E-24
10266.000,2.091E-24
10267.000,2.112E-24
10268.000,2.134E-24
10269.000,2.155E-24
10270.000,2.169E-24
10271.000,2.184E-24
10272.000,2.198E-24
10273.000,2.218E-24
10274.000,2.239E-24
10275.000,2.259E-24
10276.000,2.258E-24
10277.000,2.256E-24
10278.000,2.255E-24
10279.000,2.304E-24
10280.000,2.352E-24
10281.000,2.401E-24
10282.000,2.402E-24
10283.000,2.402E-24
10284.000,2.403E-24
10285.000,2.427E-24
10286.000,2.451E-24
10287.000,2.475E-24
10288.000,2.517E-24
10289.000,2.558E-24
10290.000,2.549E-24
10291.000,2.541E-24
10292.000,2.532E-24
10293.000,2.605E-24
10294.000,2.679E-24
10295.000,2.752E-24
