wavenumber[1/cm],cross section[cm^2]
853.1270194857373,2.08e-20
853.1370635998393,2.2e-20
853.1471077139413,2.193e-20
853.1571518280433,2.077e-20
853.1671959421454,1.913e-20
853.1772400562475,1.921e-20
853.1872841703495,2.178e-20
853.1973282844516,2.386e-20
853.2073723985536,2.277e-20
853.2174165126556,1.985e-20
853.2274606267576,1.851e-20
853.2375047408598,2.118e-20
853.2475488549618,2.647e-20
853.2575929690638,2.852e-20
853.2676370831659,2.451e-20
853.277681197268,2.054e-20
853.28772531137,2.235e-20
853.2977694254721,2.575e-20
853.3078135395741,2.477e-20
853.3178576536761,2.112e-20
853.3279017677781,1.912e-20
853.3379458818803,2.01e-20
853.3479899959823,2.332e-20
853.3580341100843,2.521e-20
853.3680782241864,2.219e-20
853.3781223382884,1.837e-20
853.3881664523905,2.017e-20
853.3982105664926,2.398e-20
853.4082546805946,2.283e-20
853.4182987946966,1.999e-20
853.4283429087986,2.136e-20
853.4383870229008,2.367e-20
853.4484311370028,2.244e-20
853.4584752511048,2.055e-20
853.4685193652069,2.091e-20
853.478563479309,2.141e-20
853.488607593411,2.064e-20
853.498651707513,2.036e-20
853.5086958216151,2.17e-20
853.5187399357171,2.32e-20
853.5287840498191,2.265e-20
853.5388281639213,2.087e-20
853.5488722780233,2.143e-20
853.5589163921253,2.445e-20
853.5689605062274,2.62e-20
853.5790046203294,2.614e-20
853.5890487344315,2.6e-20
853.5990928485335,2.419e-20
853.6091369626356,2.139e-20
853.6191810767376,2.324e-20
853.6292251908396,2.795e-20
853.6392693049418,2.647e-20
853.6493134190438,2.043e-20
853.6593575331458,2.027e-20
853.6694016472478,2.496e-20
853.6794457613499,2.479e-20
853.689489875452,2.01e-20
853.699533989554,1.88e-20
853.7095781036561,2.234e-20
853.7196222177581,2.614e-20
853.7296663318601,2.619e-20
853.7397104459623,2.222e-20
853.7497545600643,1.955e-20
853.7597986741663,2.244e-20
853.7698427882683,2.563e-20
853.7798869023704,2.376e-20
853.7899310164725,2.223e-20
853.7999751305745,2.521e-20
853.8100192446766,2.646e-20
853.8200633587786,2.357e-20
853.8301074728806,2.313e-20
853.8401515869826,2.58e-20
853.8501957010848,2.58e-20
853.8602398151868,2.376e-20
853.8702839292888,2.288e-20
853.8803280433909,2.16e-20
853.890372157493,2.07e-20
853.900416271595,2.335e-20
853.9104603856971,2.563e-20
853.9205044997991,2.355e-20
853.9305486139011,2.262e-20
853.9405927280031,2.594e-20
853.9506368421053,2.678e-20
853.9606809562073,2.329e-20
853.9707250703093,2.232e-20
853.9807691844114,2.498e-20
853.9908132985134,2.576e-20
854.0008574126155,2.415e-20
854.0109015267175,2.295e-20
854.0209456408196,2.174e-20
854.0309897549216,2.084e-20
854.0410338690236,2.269e-20
854.0510779831258,2.577e-20
854.0611220972278,2.598e-20
854.0711662113298,2.338e-20
854.0812103254319,2.136e-20
854.0912544395339,2.18e-20
854.101298553636,2.385e-20
854.111342667738,2.489e-20
854.1213867818401,2.329e-20
854.1314308959421,2.12e-20
854.1414750100441,2.147e-20
854.1515191241463,2.314e-20
854.1615632382483,2.388e-20
854.1716073523503,2.375e-20
854.1816514664523,2.359e-20
854.1916955805544,2.323e-20
854.2017396946565,2.289e-20
854.2117838087585,2.332e-20
854.2218279228606,2.477e-20
854.2318720369626,2.625e-20
854.2419161510646,2.551e-20
854.2519602651668,2.248e-20
854.2620043792688,2.176e-20
854.2720484933708,2.542e-20
854.2820926074728,2.746e-20
854.2921367215749,2.391e-20
854.302180835677,2.109e-20
854.312224949779,2.438e-20
854.3222690638811,2.875e-20
854.3323131779831,2.843e-20
854.3423572920851,2.578e-20
854.3524014061871,2.552e-20
854.3624455202893,2.791e-20
854.3724896343913,2.927e-20
854.3825337484933,2.637e-20
854.3925778625954,2.172e-20
854.4026219766974,2.154e-20
854.4126660907995,2.582e-20
854.4227102049016,2.827e-20
854.4327543190036,2.739e-20
854.4427984331056,2.637e-20
854.4528425472076,2.476e-20
854.4628866613098,2.224e-20
854.4729307754118,2.276e-20
854.4829748895138,2.576e-20
854.4930190036159,2.545e-20
854.5030631177179,2.265e-20
854.51310723182,2.243e-20
854.523151345922,2.373e-20
854.5331954600241,2.431e-20
854.5432395741261,2.571e-20
854.5532836882281,2.588e-20
854.5633278023303,2.254e-20
854.5733719164323,2.221e-20
854.5834160305343,2.843e-20
854.5934601446364,3.155e-20
854.6035042587384,2.604e-20
854.6135483728405,2.041e-20
854.6235924869425,2.059e-20
854.6336366010446,2.338e-20
854.6436807151466,2.653e-20
854.6537248292486,2.8e-20
854.6637689433508,2.445e-20
854.6738130574528,2.084e-20
